Rank,Crime Index ▲,City / Population
337,"1,841","Concord, CA / 125,017"
338,"1,842","Newark, CA / 43,635"
339,"1,845","Bellflower, CA / 77,521"
340,"1,845","Redlands, CA / 69,787"
341,"1,845","Los Angeles, CA / 3,862,210"
342,"1,846","Gardena, CA / 59,682"
343,"1,873","San Luis Obispo, CA / 45,911"
344,"1,879","Santa Monica, CA / 91,619"
345,"1,880","Moreno Valley, CA / 198,872"
346,"1,893","South El Monte, CA / 20,375"
347,"1,910","San Jacinto, CA / 45,497"
348,"1,913","Bishop, CA / 3,851"
349,"1,913","West Sacramento, CA / 49,946"
350,"1,915","Rancho Cordova, CA / 67,167"
351,"1,922","Lindsay, CA / 12,688"
352,"1,923","Pleasant Hill, CA / 33,842"
353,"1,933","Citrus Heights, CA / 84,678"
354,"1,936","Rialto, CA / 101,367"
355,"1,940","Colton, CA / 53,129"
356,"1,943","Greenfield, CA / 16,715"
357,"1,949","Shafter, CA / 17,261"
358,"1,952","Santa Maria, CA / 101,468"
359,"1,965","Fairfield, CA / 107,983"
360,"1,969","Perris, CA / 71,377"
361,"1,970","Long Beach, CA / 468,594"
362,"1,971","Palm Desert, CA / 49,953"
363,"1,977","South Gate, CA / 95,515"
364,"1,986","Lodi, CA / 63,158"
365,"1,996","Lakeport, CA / 4,746"
366,"1,997","King City, CA / 13,171"
367,"1,999","Yreka, CA / 7,675"
368,"2,000","Pismo Beach, CA / 7,789"
369,"2,009","Avalon, CA / 3,768"
370,"2,010","Oakdale, CA / 21,260"
371,"2,011","Madera, CA / 62,559"
372,"2,011","California City, CA / 13,243"
373,"2,023","Nevada City, CA / 3,051"
374,"2,030","Riverside, CA / 313,041"
375,"2,036","Porterville, CA / 54,949"
376,"2,040","Watsonville, CA / 52,085"
377,"2,043","Del Mar, CA / 4,242"
378,"2,050","Lancaster, CA / 159,092"
379,"2,056","Adelanto, CA / 31,773"
380,"2,061","Monterey, CA / 28,053"
381,"2,069","Hayward, CA / 149,596"
382,"2,087","Sanger, CA / 24,587"
383,"2,097","Brawley, CA / 25,478"
384,"2,098","Indio, CA / 82,539"
385,"2,108","Ceres, CA / 46,570"
386,"2,121","Jackson, CA / 4,616"
387,"2,123","Paramount, CA / 54,813"
388,"2,137","Hawthorne, CA / 85,889"
389,"2,146","Crescent City, CA / 7,295"
390,"2,151","Grass Valley, CA / 12,861"
391,"2,179","Ukiah, CA / 15,956"
392,"2,188","Atwater, CA / 28,686"
393,"2,190","Pomona, CA / 151,142"
394,"2,194","Lynwood, CA / 70,789"
395,"2,195","Signal Hill, CA / 11,245"
396,"2,234","Delano, CA / 52,883"
397,"2,248","Pinole, CA / 18,754"
398,"2,261","Fort Bragg, CA / 7,274"
399,"2,267","National City, CA / 59,543"
400,"2,269","Coachella, CA / 42,576"
401,"2,283","Alturas, CA / 2,714"
402,"2,293","Huron, CA / 6,777"
403,"2,303","Victorville, CA / 119,603"
404,"2,306","Inglewood, CA / 111,133"
405,"2,339","Corning, CA / 7,617"
406,"2,348","Parlier, CA / 14,750"
407,"2,350","Redding, CA / 90,725"
408,"2,368","Turlock, CA / 69,875"
409,"2,375","Visalia, CA / 126,942"
410,"2,393","Needles, CA / 4,923"
411,"2,445","Arvin, CA / 20,028"
412,"2,447","Hemet, CA / 81,203"
413,"2,476","Salinas, CA / 154,077"
414,"2,491","El Cerrito, CA / 24,136"
415,"2,493","San Leandro, CA / 87,159"
416,"2,522","Weed, CA / 2,937"
417,"2,530","El Centro, CA / 43,268"
418,"2,535","Bakersfield, CA / 358,700"
419,"2,558","Antioch, CA / 105,630"
420,"2,582","Fresno, CA / 506,132"
421,"2,596","Merced, CA / 80,490"
422,"2,600","Dos Palos, CA / 5,023"
423,"2,606","West Hollywood, CA / 35,053"
424,"2,609","Isleton, CA / 792"
425,"2,641","Clearlake, CA / 15,121"
426,"2,643","Huntington Park, CA / 58,787"
427,"2,649","Tulare, CA / 60,663"
428,"2,649","Selma, CA / 23,808"
429,"2,680","Montclair, CA / 37,685"
430,"2,684","Gridley, CA / 6,566"
431,"2,697","Dinuba, CA / 22,828"
432,"2,722","Anderson, CA / 10,066"
433,"2,731","East Palo Alto, CA / 28,920"
434,"2,735","San Francisco, CA / 829,072"
435,"2,793","Berkeley, CA / 115,688"
436,"2,815","Modesto, CA / 205,984"
437,"2,817","Santa Cruz, CA / 62,045"
438,"2,869","Big Bear Lake, CA / 5,104"
439,"2,943","Sacramento, CA / 476,075"
440,"2,951","Marysville, CA / 12,144"
441,"2,980","Palm Springs, CA / 45,827"
442,"3,003","Capitola, CA / 10,043"
443,"3,129","Barstow, CA / 23,110"
444,"3,188","Red Bluff, CA / 14,069"
445,"3,297","Vallejo, CA / 118,078"
446,"3,312","Eureka, CA / 27,039"
447,"3,351","San Bernardino, CA / 213,044"
448,"3,393","San Pablo, CA / 29,516"
449,"3,473","Compton, CA / 97,663"
450,"3,496","Trinidad, CA / 236"
451,"3,517","Orange Cove, CA / 9,473"
452,"3,527","Sonora, CA / 4,844"
453,"3,688","Santa Fe Springs, CA / 16,859"
454,"3,769","Richmond, CA / 106,469"
455,"3,947","Stockton, CA / 297,223"
456,"4,034","Oroville, CA / 16,015"
457,"4,186","Desert Hot Springs, CA / 27,678"
458,"4,221","Commerce, CA / 12,975"
459,"4,321","Blue Lake, CA / 1,258"
460,"5,053","Oakland, CA / 402,339"
461,"6,041","Emeryville, CA / 10,497"
462,"6,413","Colma, CA / 1,837"
463,"7,576","Irwindale, CA / 1,530"
464,"12,157","Sand City, CA / 355"
465,"126,554","Industry, CA / 384"
466,"199,187","Vernon, CA / 59"
